FACTOR,HUMAN_CODING,HUMAN_CODING_GENERATED,HUMAN_CODING_GENERATED_NEW,HUMAN_NON_CODING,MOUSE_CODING,MOUSE_NON_CODING,NON_PROMOTER
MEF2C,0.552168815943728,0.9945,0.42105263157894735,0.905474764756202,0.5123873873873874,0.8517555266579974,1.4488608822103732
MSX1,0.5518757327080891,0.961,0.5263157894736842,1.0004277159965782,0.5478603603603603,0.849479843953186,1.2324285021812893
ZIM3,0.5507033997655334,0.9905,0.47368421052631576,0.9585115483319075,0.6461148648648649,1.0260078023407022,1.2959282598158022
ZNF675,0.5495310668229777,0.5985,0.6842105263157895,0.660393498716852,0.4878941441441441,0.66222366710013,0.7031022782355792
POU6F2,0.5471864009378663,0.967,0.47368421052631576,1.0419161676646709,0.518581081081081,0.9193758127438232,1.39214735821619
ETV2::DRGX,0.5436694021101993,0.5805,0.5789473684210527,0.5620188195038495,0.6801801801801802,0.5881014304291288,0.5770722249151721
ATF2,0.5383939038686987,0.5785,0.2631578947368421,0.8464499572284003,0.5993806306306306,0.856631989596879,0.9177573113588624
Arnt,0.5354630715123095,0.429,0.2631578947368421,0.378956372968349,0.6216216216216216,0.3787386215864759,0.2036677977056067
HOXD4,0.5348769050410317,0.8245,0.21052631578947367,0.8165098374679213,0.5557432432432432,0.7896618985695709,1.0159961221522056
Hmx3,0.5334114888628371,0.946,0.42105263157894735,0.9332763045337896,0.5002815315315315,0.7711313394018205,1.2536758765551783
POU3F3,0.5257913247362251,1.1475,0.42105263157894735,1.1244653550042771,0.4273648648648648,0.902145643693108,2.0448376151236065
Pax7,0.5211019929660023,1.144,0.3157894736842105,1.0530367835757055,0.4572072072072072,0.8761378413524057,1.7632897075456455
PHOX2B,0.5175849941383353,1.195,0.3684210526315789,1.0615911035072711,0.4118806306306306,0.7925877763328999,1.892066569720472
TBX20,0.5167057444314185,0.7035,0.3684210526315789,0.7489307100085543,0.4881756756756756,0.7948634590377113,0.8494910324769753
Hoxa11,0.5128956623681126,0.8585,0.42105263157894735,0.8558597091531224,0.4828265765765765,0.7805591677503251,1.1869445790919373
ZNF324,0.5108440797186401,0.5035,0.7368421052631579,0.6402908468776732,0.5039414414414415,0.6648244473342002,0.6361286152851834
ZNF75D,0.5099648300117233,0.533,0.5789473684210527,0.676218990590248,0.5073198198198198,0.6115084525357607,0.5958959444175149
SOX12,0.5093786635404455,0.788,0.47368421052631576,0.7425149700598802,0.5532094594594594,0.8702860858257477,0.9167070609145258
FOXD1,0.5046893317702228,0.8635,0.3157894736842105,0.8434559452523525,0.4755067567567567,0.8472041612483745,1.195427371142349
TCF7L2,0.5026377491207503,0.764,0.47368421052631576,0.9174508126603936,0.4895833333333333,0.9024707412223668,1.3515915333656487
HOXB2::ELK1,0.5023446658851114,0.389,0.15789473684210525,0.3545765611633875,0.6503378378378378,0.3810143042912874,0.2767005978348683
RARA::RXRA,0.5008792497069168,0.4485,0.631578947368421,0.4957228400342173,0.4614301801801801,0.5162548764629389,0.4196962352560995
Creb3l2,0.4976553341148886,0.3545,0.21052631578947367,0.4221556886227545,0.5433558558558559,0.3956436931079324,0.293908547422847
XBP1,0.4976553341148886,0.3395,0.05263157894736842,0.3276304533789563,0.5022522522522522,0.3068920676202861,0.2084343189529811
POU2F3,0.4935521688159437,0.9035,0.21052631578947367,1.021813515825492,0.4467905405405405,0.932704811443433,1.628696073679108
DMRTC2,0.492379835873388,0.834,0.3684210526315789,0.932420872540633,0.5436373873873874,1.0071521456436932,1.3284052350945226
HOXC10,0.4909144196951934,0.903,0.5263157894736842,0.8909324208725407,0.4552364864864865,0.8185955786736021,1.2564226854095977
Stat5a::Stat5b,0.4821219226260257,0.5365,0.631578947368421,0.6787852865697177,0.5211148648648649,0.7217165149544863,0.8894005493617709
